chr1	622978	886882	0	0.1164	4
chr1	1666683	70075379	0	-0.1346	1
chr1	181382479	196364838	1	0.24	1
chr1	197585919	246242674	0	0.147	5
chr1	246335822	246922769	1	0.314	8
chr2	60038	81122598	0	-0.0134	1
chr2	111708984	126909161	1	0.2419	1
chr2	126959027	217997869	0	0.0679	9
chr2	218008633	241776330	0	-0.0636	3
chr3	53046	89604587	-1	-0.1647	1
chr3	95391996	198235559	0	0.0804	1
chr4	116398	850144	0	-0.1223	1
chr4	1032245	1158651	0	0.0949	3
chr4	1261987	44699572	-1	-0.1671	4
chr4	45803421	48485951	1	0.1513	4
chr4	66803096	190123121	0	0.0279	1
chr5	128461	156917270	0	0.0139	1
chr5	159116427	181159583	1	0.3215	3
chr6	64839654	169822965	-1	-0.178	1
chr6	170014748	170392242	0	0.0326	6
chr7	196013	2045731	1	0.1727	1
chr7	2832025	34857135	0	0.022	3
chr7	35832808	57287129	0	0.114	3
chr7	61071606	158882240	0	0.0204	1
chr8	351689	537521	0	-0.0151	3
chr8	646879	33022005	-1	-0.1913	4
chr8	47115940	67481390	0	0.0506	2
chr8	68598875	144948183	1	0.2142	9
chr9	222727	21791421	-1	-0.2532	3
chr9	22784007	33227108	0	-0.1347	1
chr10	97946	465018	0	0.0784	6
chr10	544205	792437	1	0.2483	6
chr10	79027830	132730920	-1	-0.1808	8
chr10	132835534	133342049	0	-0.0464	8
chr11	251127	2855916	1	0.2579	1
chr11	2888681	41502220	0	0.098	5
chr11	65607075	68586530	0	0.1016	6
chr11	70098656	104712767	0	0.1072	4
chr11	106466549	134501780	-1	-0.1915	5
chr12	558435	4340906	0	0.0107	9
chr12	4470925	15779535	-1	-0.166	2
chr12	16208977	27793806	0	0.0014	1
chr12	29518203	31345437	-1	-0.2079	6
chr12	62915063	85966036	1	0.2195	2
chr12	87057912	131735721	0	0.0754	5
chr13	18445860	27464943	0	0.1382	1
chr13	29374684	59672706	-1	-0.1714	3
chr13	60739615	83446139	0	-0.0164	2
chr13	84673860	105274543	1	0.2106	2
chr13	106958559	113445095	1	0.3307	1
chr14	19691234	55375048	0	-0.0214	4
chr14	56640164	105828437	-1	-0.1795	6
chr15	70357982	83457642	1	0.2165	1
chr15	84750978	99430951	0	0.0887	2
chr15	99539103	99578352	1	0.5019	3
chr16	70780	352987	0	0.0385	6
chr16	517152	1255959	1	0.2087	9
chr17	574239	866643	-1	-0.1979	8
chr17	957527	2663961	0	-0.0539	1
chr17	3434224	19653205	-1	-0.1844	2
chr17	37159009	61283159	1	0.2276	5
chr17	61293853	80590410	1	0.4679	3
chr18	67394	14751225	0	0.0419	2
chr18	20930937	78308492	0	-0.1409	7
chr19	281596	3728465	1	0.2031	1
chr20	79359	10856933	0	-0.1439	3
chr20	36817171	63727019	1	0.3747	6
chr21	12965808	37727325	0	0.098	3
chr21	38912700	44406508	0	-0.1086	2
chr21	44621031	45425027	0	0.0182	1
chr22	24744117	48966298	-1	-0.1634	6
chrX	2916714	80598730	0	-0.022	1
chrX	81330848	89453480	-1	-0.2731	1
chrX	90974836	130259125	0	-0.1181	4
chrX	131487288	155090122	0	0.0757	4
